Company,Location_HQ,Country,Continent,Laid_Off,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Year
Captiv8,San Francisco Bay Area,USA,North America,8,3.0,267,259,Marketing,Unknown,2023
Atlas,Chicago,USA,North America,150,30.0,500,350,HR,Series B,2023
Veriff,Tallinn,Estonia,Europe,101,21.0,481,380,Security,Series C,2023
BlackLine,Los Angeles,USA,North America,95,5.0,1900,1805,Finance,Post-IPO,2023
Getir,London,United Kingdom,Europe,2500,11.0,22727,20227,Food,Series E,2023
Twiga,Nairobi,Kenya,Africa,283,33.0,858,575,Food,Series C,2023
AppFolio,Santa Barbara,USA,North America,149,9.0,1656,1507,Real Estate,Post-IPO,2023
StreamElements,Tel Aviv,Israel,Asia,60,35.0,171,111,Media,Series B,2023
SecureWorks,Atlanta,USA,North America,300,15.0,2000,1700,Security,Post-IPO,2023
Blend,San Francisco Bay Area,USA,North America,150,19.0,789,639,Finance,Post-IPO,2023
Dealtale,Tel Aviv,Israel,Asia,70,100.0,70,0,Sales,Acquired,2023
Thoughtworks,Chicago,USA,North America,579,5.0,11580,11001,Other,Post-IPO,2023
Rapid7,Boston,USA,North America,470,18.0,2611,2141,Security,Post-IPO,2023
Doximity,San Francisco Bay Area,USA,North America,100,10.0,1000,900,Healthcare,Post-IPO,2023
23andMe,San Francisco Bay Area,USA,North America,71,11.0,645,574,Healthcare,Post-IPO,2023
Top Hat,Toronto,Canada,North America,42,7.0,600,558,Education,Series E,2023
Discord,San Francisco Bay Area,USA,North America,37,4.0,925,888,Consumer,Series H,2023
Spinny,Gurugram,India,Asia,300,5.0,6000,5700,Transportation,Series E,2023
Tekion,Bengaluru,India,Asia,300,10.0,3000,2700,Other,Series D,2023
BetterUp,San Francisco Bay Area,USA,North America,100,16.0,625,525,HR,Series E,2023
Augury,New York City,USA,North America,70,18.0,389,319,Manufacturing,Series E,2023
Gupy,Sao Paulo,Brazil,South America,58,8.0,725,667,HR,Series B,2023
Vesttoo,Tel Aviv,Israel,Asia,150,75.0,200,50,Finance,Series C,2023
Planet,San Francisco Bay Area,USA,North America,117,10.0,1170,1053,Aerospace,Post-IPO,2023
Paper,Montreal,Canada,North America,106,4.0,2650,2544,Education,Series D,2023
Archipelago,San Francisco Bay Area,USA,North America,40,30.0,133,93,Real Estate,Series B,2023
Fable,Toronto,Canada,North America,13,9.0,144,131,Other,Series A,2023
Kape Technologies,London,United Kingdom,Europe,200,30.0,667,467,Security,Post-IPO,2023
Eroad,Auckland,New Zealand,Australia,200,31.0,645,445,Transportation,Unknown,2023
Milkbasket,Gurugram,India,Asia,400,67.0,597,197,Food,Acquired,2023
Wish,San Francisco Bay Area,USA,North America,255,34.0,750,495,Retail,Post-IPO,2023
Point,San Francisco Bay Area,USA,North America,61,28.0,218,157,Real Estate,Series C,2023
Verbit,New York City,USA,North America,60,6.0,1000,940,Data,Series E,2023
Copia,Nairobi,Kenya,Africa,350,25.0,1400,1050,Retail,Series C,2023
Figure,San Francisco Bay Area,USA,North America,90,20.0,450,360,Crypto,Unknown,2023
Calendly,Atlanta,USA,North America,60,10.0,600,540,Other,Series B,2023
Deep Instict,New York City,USA,North America,46,15.0,307,261,Security,Unknown,2023
AgentSync,Denver,USA,North America,67,24.0,279,212,Finance,Series B,2023
Inspirato,Denver,USA,North America,50,6.0,833,783,Travel,Post-IPO,2023
Tilia,San Francisco Bay Area,USA,North America,28,32.0,88,60,Finance,Unknown,2023
Sarcos,Salt Lake City,USA,North America,75,25.0,300,225,Aerospace,Post-IPO,2023
PayScale,Seattle,USA,North America,14,2.0,700,686,HR,Acquired,2023
AudioCodes,Tel Aviv,Israel,Asia,80,6.0,1333,1253,Other,Post-IPO,2023
Deepwatch,Tampa Bay,USA,North America,30,7.0,429,399,Security,Series C,2023
DeepVerge,Dublin,Ireland,Europe,50,100.0,50,0,Healthcare,Post-IPO,2023
Freightos,Miami,USA,North America,50,13.0,385,335,Logistics,Post-IPO,2023
WayCool,Chennai,India,Asia,300,12.0,2500,2200,Food,Unknown,2023
Matterport,San Francisco Bay Area,USA,North America,170,30.0,567,397,Data,Post-IPO,2023
Sisense,New York City,USA,North America,100,15.0,667,567,Data,Series F,2023
FrontRow,Bengaluru,India,Asia,4,100.0,4,0,Education,Series A,2023
FNZ,London,United Kingdom,Europe,1000,15.0,6667,5667,Finance,Private Equity …,2023
Perfect Day,San Francisco Bay Area,USA,North America,134,15.0,893,759,Food,Series D,2023
TytoCare,New York City,USA,North America,20,10.0,200,180,Healthcare,Series D,2023
Highsnobiety,Berlin,Germany,Europe,24,10.0,240,216,Media,Acquired,2023
Zip,Sydney,Australia,Australia,300,20.0,1500,1200,Finance,Post-IPO,2023
Headspace,Los Angeles,USA,North America,181,15.0,1207,1026,Healthcare,Unknown,2023
Artsy,New York City,USA,North America,35,15.0,233,198,Retail,Series D,2023
Torii,Ra'anana,Israel,Asia,28,30.0,93,65,Other,Series B,2023
ClickUp,San Diego,USA,North America,90,10.0,900,810,Other,Series C,2023
Plex,San Francisco Bay Area,USA,North America,37,20.0,185,148,Media,Unknown,2023
New Relic,San Francisco Bay Area,USA,North America,255,10.0,2550,2295,Infrastructure,Post-IPO,2023
Robinhood,San Francisco Bay Area,USA,North America,150,7.0,2143,1993,Finance,Post-IPO,2023
Convoy,Seattle,USA,North America,30,5.0,600,570,Logistics,Series E,2023
Uber,San Francisco Bay Area,USA,North America,200,0.9961647656522389,20077,19877,Transportation,Post-IPO,2023
Ritual,Toronto,Canada,North America,38,40.0,95,57,Food,Series C,2023
Grab,Singapore,Singapore,Asia,1000,11.0,9091,8091,Transportation,Post-IPO,2023
Chingari,Bengaluru,India,Asia,48,20.0,240,192,Media,Unknown,2023
Mojocare,Bengaluru,India,Asia,170,80.0,213,43,Healthcare,Series A,2023
Pilot,San Francisco Bay Area,USA,North America,45,13.0,346,301,Finance,Unknown,2023
CareRev,Los Angeles,USA,North America,100,33.0,303,203,Healthcare,Series A,2023
FrontRow,Bengaluru,India,Asia,39,90.0,43,4,Education,Series A,2023
Bitwise,Fresno,USA,North America,900,100.0,900,0,Crypto,Series B,2023
Sonos,New York City,USA,North America,130,7.0,1857,1727,Consumer,Post-IPO,2023
TrueCar,Los Angeles,USA,North America,102,24.0,425,323,Transportation,Post-IPO,2023
Olo,New York City,USA,North America,81,11.0,736,655,Food,Post-IPO,2023
Grubhub,San Francisco Bay Area,USA,North America,400,15.0,2667,2267,Food,Acquired,2023
GoCardless,London,United Kingdom,Europe,150,17.0,882,732,Finance,Series G,2023
Pendo,Raleigh,USA,North America,100,12.0,833,733,Product,Series F,2023
Chegg,San Francisco Bay Area,USA,North America,80,4.0,2000,1920,Education,Post-IPO,2023
TaxBit,San Francisco Bay Area,USA,North America,80,40.0,200,120,Crypto,Unknown,2023
Trybe,Sao Paulo,Brazil,South America,128,35.0,366,238,Education,Series B,2023
23andMe,San Francisco Bay Area,USA,North America,75,9.0,833,758,Healthcare,Post-IPO,2023
Expel,Washington DC,USA,North America,60,10.0,600,540,Security,Series E,2023
Cityblock Health,New York City,USA,North America,155,12.0,1292,1137,Healthcare,Series D,2023
Highspot,Seattle,USA,North America,140,15.0,933,793,Sales,Series F,2023
Edgio,Phoenix,USA,North America,134,12.0,1117,983,Infrastructure,Post-IPO,2023
Reddit,San Francisco Bay Area,USA,North America,90,5.0,1800,1710,Consumer,Series F,2023
Linktree,Melbourne,Australia,Australia,60,27.0,222,162,Consumer,Unknown,2023
Dragos,Baltimore,USA,North America,50,9.0,556,506,Security,Series D,2023
Spotify,Stockholm,Sweden,Europe,200,2.0,9400,9200,Media,Post-IPO,2023
ZoomInfo,Vancouver,Canada,North America,120,3.0,4000,3880,Sales,Post-IPO,2023
Outbrain,New York City,USA,North America,90,10.0,900,810,Marketing,Post-IPO,2023
Zendesk,San Francisco Bay Area,USA,North America,320,8.0,4000,3680,Support,Acquired,2023
ZipRecruiter,Los Angeles,USA,North America,270,20.0,1350,1080,Recruiting,Post-IPO,2023
Vendr,Boston,USA,North America,100,25.0,400,300,Other,Series B,2023
Mux,San Francisco Bay Area,USA,North America,40,30.0,133,93,Infrastructure,Series D,2023
Away,New York City,USA,North America,22,8.0,275,253,Retail,Series D,2023
Taxfix,Berlin,Germany,Europe,120,20.0,600,480,Finance,Series D,2023
Evolve,Denver,USA,North America,164,14.0,1171,1007,Travel,Series F,2023
Project44,Chicago,USA,North America,130,10.0,1300,1170,Logistics,Unknown,2023
Airmeet,Bengaluru,India,Asia,75,30.0,250,175,Marketing,Series B,2023
Guild,Denver,USA,North America,172,12.0,1433,1261,Education,Series F,2023
Flink,Berlin,Germany,Europe,100,16.0,625,525,Food,Series B,2023
Western Digital,Kfar Saba,Israel,Asia,60,7.0,857,797,Hardware,Post-IPO,2023
Pie Insurance,Washington DC,USA,North America,63,14.0,450,387,Finance,Series D,2023
Stash,New York City,USA,North America,40,10.0,400,360,Finance,Unknown,2023
Zepz,London,United Kingdom,Europe,420,26.0,1615,1195,Finance,Series E,2023
Lemonade,New York City,USA,North America,45,3.0,1500,1455,Finance,Post-IPO,2023
Nuro,San Francisco Bay Area,USA,North America,340,30.0,1133,793,Transportation,Series D,2023
Happay,Bengaluru,India,Asia,160,35.0,457,297,Finance,Acquired,2023
Cornershop,Santiago,Chile,South America,250,11.0,2273,2023,Food,Acquired,2023
Redbubble,Melbourne,Australia,Australia,70,23.0,304,234,Retail,Post-IPO,2023
Similarweb,New York City,USA,North America,60,6.0,1000,940,Other,Post-IPO,2023
Stack Overflow,New York City,USA,North America,58,10.0,580,522,Recruiting,Acquired,2023
Akamai,Boston,USA,North America,290,3.0,9667,9377,Security,Post-IPO,2023
Sonatype,Baltimore,USA,North America,100,14.0,714,614,Security,Acquired,2023
AudioCodes,Tel Aviv,Israel,Asia,80,6.0,1333,1253,Other,Post-IPO,2023
LinkedIn,San Francisco Bay Area,USA,North America,716,4.0,17900,17184,Recruiting,Acquired,2023
Twist Bioscience,San Francisco Bay Area,USA,North America,270,25.0,1080,810,Healthcare,Post-IPO,2023
Meesho,Bengaluru,India,Asia,251,15.0,1673,1422,Retail,Series F,2023
Shopify,Ottawa,Canada,North America,2300,20.0,11500,9200,Retail,Post-IPO,2023
Sabre,Dallas,USA,North America,1100,15.0,7333,6233,Travel,Post-IPO,2023
Autograph,Los Angeles,USA,North America,30,33.0,91,61,Crypto,Series B,2023
Earnix,Tel Aviv,Israel,Asia,30,10.0,300,270,Finance,Unknown,2023
Karma,Tel Aviv,Israel,Asia,20,28.0,71,51,Retail,Series A,2023
Unity,San Francisco Bay Area,USA,North America,600,8.0,7500,6900,Other,Post-IPO,2023
Upwork,San Francisco Bay Area,USA,North America,137,15.0,913,776,Other,Post-IPO,2023
Brightcove,Boston,USA,North America,70,10.0,700,630,Marketing,Post-IPO,2023
Healthy.io,Tel Aviv,Israel,Asia,70,33.0,212,142,Healthcare,Series D,2023
TheSkimm,New York City,USA,North America,22,13.0,169,147,Media,Series C,2023
Bishop Fox,Phoenix,USA,North America,50,13.0,385,335,Security,Series B,2023
Zoomo,Sydney,Australia,Australia,27,8.0,338,311,Transportation,Series B,2023
Cue Health,San Diego,USA,North America,326,30.0,1087,761,Healthcare,Post-IPO,2023
N26,Berlin,Germany,Europe,71,4.0,1775,1704,Finance,Series E,2023
Dropbox,San Francisco Bay Area,USA,North America,500,16.0,3125,2625,Other,Post-IPO,2023
Alteryx,Los Angeles,USA,North America,320,11.0,2909,2589,Data,Post-IPO,2023
Vroom,New York City,USA,North America,120,11.0,1091,971,Transportation,Post-IPO,2023
Greenhouse,New York City,USA,North America,100,12.0,833,733,Recruiting,Private Equity …,2023
Megaport,Brisbane,Australia,Australia,50,16.0,313,263,Infrastructure,Post-IPO,2023
Airtasker,Sydney,Australia,Australia,45,20.0,225,180,Retail,Series C,2023
Chief,New York City,USA,North America,43,14.0,307,264,Other,Series B,2023
Tickertape,Bengaluru,India,Asia,29,29.0,100,71,Finance,Seed,2023
Teampay,New York City,USA,North America,30,33.0,91,61,Finance,Series B,2023
Rapid,San Francisco Bay Area,USA,North America,115,50.0,230,115,Finance,Series D,2023
Rapid,San Francisco Bay Area,USA,North America,70,30.0,233,163,Finance,Series D,2023
Flink,Berlin,Germany,Europe,8000,40.0,20000,12000,Food,Series B,2023
BigPanda,San Francisco Bay Area,USA,North America,40,13.0,308,268,Infrastructure,Series E,2023
Lyft,San Francisco Bay Area,USA,North America,1072,26.0,4123,3051,Transportation,Post-IPO,2023
Benchling,San Francisco Bay Area,USA,North America,74,9.0,822,748,Other,Series F,2023
BuzzFeed,New York City,USA,North America,180,15.0,1200,1020,Media,Post-IPO,2023
Koo,Bengaluru,India,Asia,78,30.0,260,182,Consumer,Series B,2023
Gloat,New York City,USA,North America,35,12.0,292,257,HR,Series D,2023
WalkMe,San Francisco Bay Area,USA,North America,112,10.0,1120,1008,Other,Post-IPO,2023
Opendoor,San Francisco Bay Area,USA,North America,560,22.0,2545,1985,Real Estate,Post-IPO,2023
Culture Amp,Melbourne,Australia,Australia,90,9.0,1000,910,HR,Series F,2023
TRM Labs,San Francisco Bay Area,USA,North America,16,9.0,178,162,Crypto,Series B,2023
Clearcover,Chicago,USA,North America,81,15.0,540,459,Finance,Series D,2023
Paper,Montreal,Canada,North America,81,3.0,2700,2619,Education,Series D,2023
Ynsect,Paris,France,Europe,17,25.0,68,51,Food,Series D,2023
Drip Capital,San Francisco Bay Area,USA,North America,75,20.0,375,300,Finance,Series C,2023
Community Gami…,New York City,USA,North America,17,17.0,100,83,Crypto,Series A,2023
Astronomer,Cincinnati,USA,North America,100,40.0,250,150,Data,Series C,2023
Viasat,San Diego,USA,North America,300,4.0,7500,7200,Other,Post-IPO,2023
Milkrun,Sydney,Australia,Australia,400,100.0,400,0,Food,Series A,2023
Redfin,Seattle,USA,North America,201,4.0,5025,4824,Real Estate,Post-IPO,2023
Permutive,London,United Kingdom,Europe,80,40.0,200,120,Marketing,Series C,2023
Examedi,Santiago,Chile,South America,45,25.0,180,135,Healthcare,Unknown,2023
Flock Freight,San Diego,USA,North America,45,8.0,563,518,Logistics,Series D,2023
Nori,Seattle,USA,North America,10,37.0,27,17,Energy,Unknown,2023
Simpl,Bengaluru,India,Asia,150,25.0,600,450,Finance,Series B,2023
Pear Therapeutics,Boston,USA,North America,170,92.0,185,15,Healthcare,Post-IPO,2023
ZestMoney,Bengaluru,India,Asia,100,20.0,500,400,Finance,Series C,2023
Dunzo,Bengaluru,India,Asia,300,30.0,1000,700,Food,Unknown,2023
Amplitude,San Francisco Bay Area,USA,North America,99,13.0,762,663,Data,Post-IPO,2023
Talent.com,Montreal,Canada,North America,86,18.0,478,392,Recruiting,Series B,2023
Boost,New York City,USA,North America,15,20.0,75,60,Finance,Series B,2023
View,San Francisco Bay Area,USA,North America,170,23.0,739,569,Other,Post-IPO,2023
Guideline,San Francisco Bay Area,USA,North America,48,11.0,436,388,Finance,Series E,2023
Textio,Seattle,USA,North America,15,12.0,125,110,Recruiting,Unknown,2023
Domestika,Madrid,Spain,Europe,89,45.0,198,109,Education,Series D,2023
Roku,San Francisco Bay Area,USA,North America,200,6.0,3333,3133,Media,Post-IPO,2023
FanClash,Gurugram,India,Asia,100,75.0,133,33,Consumer,Series B,2023
Loop,Austin,USA,North America,19,25.0,76,57,Finance,Series A,2023
Crossbeam,Philadelphia,USA,North America,17,15.0,113,96,Sales,Series C,2023
Electronic Arts,San Francisco Bay Area,USA,North America,780,6.0,13000,12220,Consumer,Post-IPO,2023
iCAD,Nashua,USA,North America,23,28.0,82,59,Healthcare,Post-IPO,2023
Lucid Motors,San Francisco Bay Area,USA,North America,1300,18.0,7222,5922,Transportation,Post-IPO,2023
AEye,San Francisco Bay Area,USA,North America,46,33.0,139,93,Transportation,Post-IPO,2023
Slite,Paris,France,Europe,10,25.0,40,30,Other,Series A,2023
Indeed,Austin,USA,North America,2200,15.0,14667,12467,HR,Acquired,2023
Glassdoor,San Francisco Bay Area,USA,North America,140,15.0,933,793,HR,Acquired,2023
Wejo,Chester,United Kingdom,Europe,40,16.0,250,210,Transportation,Post-IPO,2023
Workhuman,Dublin,Ireland,Europe,130,10.0,1300,1170,HR,Unknown,2023
FreshBooks,Toronto,Canada,North America,80,10.0,800,720,Finance,Unknown,2023
Smallcase,Bengaluru,India,Asia,15,4.0,375,360,Finance,Series C,2023
Amazon,Seattle,USA,North America,9000,2.295918367346939,392000,383000,Retail,Post-IPO,2023
Livspace,Bengaluru,India,Asia,100,2.0,5000,4900,Retail,Series F,2023
Symend,Calgary,Canada,North America,50,25.0,200,150,Other,Series C,2023
Freshworks,San Francisco Bay Area,USA,North America,114,2.0,5700,5586,Support,Post-IPO,2023
Course Hero,San Francisco Bay Area,USA,North America,42,15.0,280,238,Education,Series C,2023
Leafly,Seattle,USA,North America,40,21.0,190,150,Retail,Post-IPO,2023
Dukaan,Bengaluru,India,Asia,56,30.0,187,131,Retail,Series A,2023
Boxed,New York City,USA,North America,32,25.0,128,96,Retail,Post-IPO,2023
TradeWindow,Auckland,New Zealand,Australia,25,30.0,83,58,Finance,Series B,2023
Meta,San Francisco Bay Area,USA,North America,10000,13.5841170323929,73615,63615,Consumer,Post-IPO,2023
Fetch,Madison,USA,North America,100,10.0,1000,900,Retail,Series E,2023
Anchorage Digital,San Francisco Bay Area,USA,North America,75,20.0,375,300,Crypto,Series D,2023
Avidbots,Kitchener,Canada,North America,50,14.0,357,307,Hardware,Series C,2023
Kaleidoscope,Minneapolis,USA,North America,15,30.0,50,35,Finance,Series A,2023
Xero,Wellington,New Zealand,Australia,800,15.0,5333,4533,Finance,Post-IPO,2023
Gopuff,Philadelphia,USA,North America,100,2.0,5000,4900,Food,Series H,2023
Wattpad,Toronto,Canada,North America,42,15.0,280,238,Media,Acquired,2023
Pristyn Care,Gurugram,India,Asia,300,15.0,2000,1700,Healthcare,Series E,2023
Zwift,Los Angeles,USA,North America,80,15.0,533,453,Fitness,Series C,2023
Atlassian,Sydney,Australia,Australia,500,5.0,10000,9500,Other,Post-IPO,2023
SiriusXM,New York City,USA,North America,475,8.0,5938,5463,Media,Post-IPO,2023
Loft,Sao Paulo,Brazil,South America,340,15.0,2267,1927,Real Estate,Unknown,2023
Embark Trucks,San Francisco Bay Area,USA,North America,230,70.0,329,99,Transportation,Post-IPO,2023
Zscaler,San Francisco Bay Area,USA,North America,177,3.0,5900,5723,Security,Post-IPO,2023
Fittr,Pune,India,Asia,30,11.0,273,243,Fitness,Series A,2023
CNET,San Francisco Bay Area,USA,North America,12,10.0,120,108,Media,Acquired,2023
Thoughtworks,Chicago,USA,North America,500,4.0,12500,12000,Other,Post-IPO,2023
iFood,Sao Paulo,Brazil,South America,355,6.0,5917,5562,Food,Subsidi…,2023
Waymo,San Francisco Bay Area,USA,North America,209,8.0,2613,2404,Transportation,Subsidi…,2023
PayFit,Paris,France,Europe,200,20.0,1000,800,HR,Series E,2023
Sonder,San Francisco Bay Area,USA,North America,100,14.0,714,614,Travel,Post-IPO,2023
Eventbrite,San Francisco Bay Area,USA,North America,80,8.0,1000,920,Consumer,Post-IPO,2023
Cerebral,Walnut,USA,North America,285,15.0,1900,1615,Healthcare,Series C,2023
Amount,Chicago,USA,North America,130,25.0,520,390,Finance,Unknown,2023
Palantir,Denver,USA,North America,75,2.0,3750,3675,Data,Post-IPO,2023
Outreach,Seattle,USA,North America,70,7.0,1000,930,Sales,Series G,2023
Stytch,San Francisco Bay Area,USA,North America,19,25.0,76,57,Security,Series B,2023
Twitter,San Francisco Bay Area,USA,North America,200,10.0,2000,1800,Consumer,Post-IPO,2023
Ericsson,Stockholm,Sweden,Europe,8500,8.0,106250,97750,Other,Post-IPO,2023
OneFootball,Berlin,Germany,Europe,150,32.0,469,319,Marketing,Series D,2023
Green Labs,Seoul,South Korea,Asia,350,70.0,500,150,Food,Series C,2023
Polygon,Bengaluru,India,Asia,100,20.0,500,400,Crypto,Unknown,2023
Basis Technologies,Chicago,USA,North America,40,4.0,1000,960,Marketing,Series B,2023
MyGate,Bengaluru,India,Asia,200,30.0,667,467,Other,Series B,2023
Fireblocks,New York City,USA,North America,30,5.0,600,570,Crypto,Series E,2023
Kinde,Sydney,Australia,Australia,8,28.0,29,21,Other,Seed,2023
Micron,Boise,USA,North America,2400,5.0,48000,45600,Hardware,Post-IPO,2023
Chipper Cash,San Francisco Bay Area,USA,North America,100,33.0,303,203,Finance,Series C,2023
DocuSign,San Francisco Bay Area,USA,North America,680,10.0,6800,6120,Sales,Post-IPO,2023
Pico Interactive,San Francisco Bay Area,USA,North America,400,20.0,2000,1600,Other,Acquired,2023
The RealReal,San Francisco Bay Area,USA,North America,230,7.0,3286,3056,Retail,Post-IPO,2023
Smartsheet,Seattle,USA,North America,85,3.0,2833,2748,Other,Post-IPO,2023
Wix,Tel Aviv,Israel,Asia,370,6.0,6167,5797,Marketing,Post-IPO,2023
ServiceTitan,Los Angeles,USA,North America,221,8.0,2763,2542,Sales,Series G,2023
Neon,Sao Paulo,Brazil,South America,210,9.0,2333,2123,Finance,Series D,2023
DigitalOcean,New York City,USA,North America,200,11.0,1818,1618,Infrastructure,Post-IPO,2023
Sprinklr,New York City,USA,North America,100,4.0,2500,2400,Support,Post-IPO,2023
Dropp,Berlin,Germany,Europe,60,100.0,60,0,Retail,Unknown,2023
