Company,Location_HQ,Country,Continent,Laid_Off,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Year
Rivian,Detroit,USA,North America,840,6.0,14000,13160,Transportation,Post-IPO,2022
Legible,Vancouver,Canada,North America,23,38.0,61,38,Media,Post-IPO,2022
Zenoti,Seattle,USA,North America,17,4.0,425,408,Fitness,Series C,2020
Chargebee,San Francisco Bay Area,USA,North America,142,10.0,1420,1278,Finance,Series H,2022
SpotHero,Chicago,USA,North America,40,21.0,190,150,Transportation,Series D,2020
Zak,Sao Paulo,Brazil,South America,100,40.0,250,150,Food,Series A,2022
7shifts,Saskatoon,Canada,North America,30,7.0,429,399,Food,Series C,2023
Divvy Homes,San Francisco Bay Area,USA,North America,40,12.0,333,293,Real Estate,Series B,2022
SoundHound,San Francisco Bay Area,USA,North America,200,50.0,400,200,Other,Post-IPO,2023
MyGate,Bengaluru,India,Asia,200,30.0,667,467,Other,Series B,2023
Stashaway,Singapore,Singapore,Asia,31,14.0,221,190,Finance,Series D,2022
Calendly,Atlanta,USA,North America,60,10.0,600,540,Other,Series B,2023
Workmotion,Berlin,Germany,Europe,60,20.0,300,240,HR,Series B,2022
The Grommet,Boston,USA,North America,40,100.0,40,0,Retail,Acquired,2022
Bench,Vancouver,Canada,North America,47,10.0,470,423,Finance,Series B,2020
GoBolt,Toronto,Canada,North America,55,5.0,1100,1045,Logistics,Series C,2023
Intercom,San Francisco Bay Area,USA,North America,49,5.0,980,931,Support,Series D,2022
iFood,Sao Paulo,Brazil,South America,355,6.0,5917,5562,Food,Subsidi…,2023
ShareChat,Bengaluru,India,Asia,500,20.0,2500,2000,Consumer,Series H,2023
Next Insurance,San Francisco Bay Area,USA,North America,150,17.0,882,732,Finance,Series E,2022
Workable,Boston,USA,North America,25,10.0,250,225,Recruiting,Series C,2020
Pristyn Care,Gurugram,India,Asia,300,15.0,2000,1700,Healthcare,Series E,2023
HOOQ,Singapore,Singapore,Asia,250,100.0,250,0,Consumer,Unknown,2020
Khoros,Austin,USA,North America,120,10.0,1200,1080,Sales,Private Equity …,2022
TytoCare,New York City,USA,North America,20,10.0,200,180,Healthcare,Series D,2023
Xiaohongshu,Shanghai,China,Asia,180,9.0,2000,1820,Consumer,Series E,2022
OneWeb,London,United Kingdom,Europe,451,85.0,531,80,Aerospace,Unknown,2020
Unico,Sao Paulo,Brazil,South America,50,4.0,1250,1200,Other,Series D,2022
Tilting Point,New York City,USA,North America,60,14.0,429,369,Consumer,Unknown,2023
Away,New York City,USA,North America,22,8.0,275,253,Retail,Series D,2023
Metromile,San Francisco Bay Area,USA,North America,100,33.0,303,203,Finance,Series E,2020
Houzz,San Francisco Bay Area,USA,North America,155,10.0,1550,1395,Consumer,Series E,2020
Rent the Runway,New York City,USA,North America,37,10.0,370,333,Retail,Post-IPO,2024
Alteryx,Los Angeles,USA,North America,320,11.0,2909,2589,Data,Post-IPO,2023
Uberflip,Toronto,Canada,North America,31,17.0,182,151,Marketing,Series A,2022
Chingari,Bengaluru,India,Asia,48,20.0,240,192,Media,Unknown,2023
Blend,San Francisco Bay Area,USA,North America,200,10.0,2000,1800,Finance,Post-IPO,2022
Swiggy,Bengaluru,India,Asia,350,5.0,7000,6650,Food,Series I,2020
Stripe,San Francisco Bay Area,USA,North America,1000,14.0,7143,6143,Finance,Series H,2022
Pluralsight,Salt Lake City,USA,North America,400,20.0,2000,1600,Education,Acquired,2022
Starry,Boston,USA,North America,100,24.0,417,317,Other,Post-IPO,2023
Unity,San Francisco Bay Area,USA,North America,600,8.0,7500,6900,Other,Post-IPO,2023
CS Disco,Austin,USA,North America,62,9.0,689,627,Legal,Post-IPO,2023
Envoy,San Francisco Bay Area,USA,North America,58,30.0,193,135,HR,Series B,2020
DataRails,Tel Aviv,Israel,Asia,30,18.0,167,137,Finance,Series B,2022
Finleap Connect,Hamburg,Germany,Europe,14,10.0,140,126,Finance,Series A,2022
ZestMoney,Bengaluru,India,Asia,150,100.0,150,0,Finance,Series C,2023
TrueCar,Los Angeles,USA,North America,102,24.0,425,323,Transportation,Post-IPO,2023
Gopuff,Philadelphia,USA,North America,450,3.0,15000,14550,Food,Series H,2022
Kaleidoscope,Minneapolis,USA,North America,15,30.0,50,35,Finance,Series A,2023
PayFit,Paris,France,Europe,200,20.0,1000,800,HR,Series E,2023
Vendease,Lagos,Nigeria,Africa,27,9.0,300,273,Food,Series A,2022
Embark Trucks,San Francisco Bay Area,USA,North America,230,70.0,329,99,Transportation,Post-IPO,2023
ScaleFactor,Austin,USA,North America,90,90.0,100,10,Finance,Series C,2020
Food52,New York City,USA,North America,20,10.0,200,180,Food,Acquired,2022
Ebanx,Curitiba,Brazil,South America,62,8.0,775,713,Finance,Unknown,2020
Polly,Burlington,USA,North America,47,15.0,313,266,Finance,Series C,2022
Maven,Seattle,USA,North America,31,9.0,344,313,Media,Post-IPO,2020
TripleLift,New York City,USA,North America,100,20.0,500,400,Marketing,Acquired,2023
Neon,Sao Paulo,Brazil,South America,210,9.0,2333,2123,Finance,Series D,2023
IronNet,Washington DC,USA,North America,55,17.0,324,269,Security,Post-IPO,2022
Nuri,Berlin,Germany,Europe,45,20.0,225,180,Finance,Series B,2022
Primer,London,United Kingdom,Europe,85,33.0,258,173,Finance,Series B,2022
Robinhood,San Francisco Bay Area,USA,North America,150,7.0,2143,1993,Finance,Post-IPO,2023
DataRobot,Boston,USA,North America,70,7.0,1000,930,Data,Series G,2022
Outside,Boulder,USA,North America,87,15.0,580,493,Media,Series B,2022
Cerebral,Walnut,USA,North America,400,20.0,2000,1600,Healthcare,Series C,2022
Forto,Berlin,Germany,Europe,60,8.0,750,690,Logistics,Series D,2022
Cloudinary,San Francisco Bay Area,USA,North America,40,8.0,500,460,Media,Unknown,2022
Virgin Hyperloop,Los Angeles,USA,North America,111,50.0,222,111,Transportation,Unknown,2022
Ocavu,Lehi,USA,North America,20,48.0,42,22,Crypto,Series A,2022
Highspot,Seattle,USA,North America,140,15.0,933,793,Sales,Series F,2023
Bringg,Tel Aviv,Israel,Asia,10,10.0,100,90,Logistics,Series D,2020
Lemon,Buenos Aires,Argentina,South America,100,38.0,263,163,Crypto,Series A,2022
Hootsuite,Vancouver,Canada,North America,70,7.0,1000,930,Marketing,Series C,2023
Peloton,New York City,USA,North America,784,13.0,6031,5247,Fitness,Post-IPO,2022
GumGum,Los Angeles,USA,North America,90,25.0,360,270,Marketing,Series D,2020
Bright Money,Bengaluru,India,Asia,100,50.0,200,100,Finance,Series A,2022
Gemini,New York City,USA,North America,100,10.0,1000,900,Crypto,Unknown,2022
DoorDash,San Francisco Bay Area,USA,North America,1250,6.0,20833,19583,Food,Post-IPO,2022
Salsify,Boston,USA,North America,90,11.0,818,728,Retail,Series F,2022
Element AI,Montreal,Canada,North America,62,15.0,413,351,Other,Series B,2020
Juul,San Francisco Bay Area,USA,North America,900,30.0,3000,2100,Consumer,Unknown,2020
Veriff,Tallinn,Estonia,Europe,63,21.0,300,237,Security,Series A,2020
Vesttoo,Tel Aviv,Israel,Asia,150,75.0,200,50,Finance,Series C,2023
Briza,Toronto,Canada,North America,26,40.0,65,39,Finance,Series A,2022
Shippo,San Francisco Bay Area,USA,North America,60,20.0,300,240,Logistics,Series E,2022
Compass,New York City,USA,North America,375,15.0,2500,2125,Real Estate,Series G,2020
Incredible Health,San Francisco Bay Area,USA,North America,9,40.0,23,14,Healthcare,Series A,2020
Expel,Washington DC,USA,North America,60,10.0,600,540,Security,Series E,2023
Zomato,Gurugram,India,Asia,100,4.0,2500,2400,Food,Series J,2022
Better.com,New York City,USA,North America,3000,33.0,9091,6091,Real Estate,Unknown,2022
BharatAgri,Mumbai,India,Asia,40,43.0,93,53,Food,Series A,2023
VTEX,Sao Paulo,Brazil,South America,200,13.0,1538,1338,Retail,Post-IPO,2022
SirionLabs,Seattle,USA,North America,130,15.0,867,737,Legal,Series D,2023
Acast,Stockholm,Sweden,Europe,70,15.0,467,397,Media,Post-IPO,2022
CityMall,Gurugram,India,Asia,191,30.0,637,446,Retail,Series C,2022
RealSelf,Seattle,USA,North America,40,13.0,308,268,Healthcare,Series B,2020
Casper,New York City,USA,North America,78,21.0,371,293,Retail,Post-IPO,2020
Vroom,New York City,USA,North America,275,20.0,1375,1100,Transportation,Post-IPO,2023
Exotel,Bengaluru,India,Asia,142,15.0,947,805,Support,Series D,2023
OneFootball,Berlin,Germany,Europe,150,32.0,469,319,Marketing,Series D,2023
Food52,New York City,USA,North America,21,15.0,140,119,Food,Acquired,2022
MakeMyTrip,New Delhi,India,Asia,350,10.0,3500,3150,Travel,Post-IPO,2020
Uber,San Francisco Bay Area,USA,North America,3700,14.0,26429,22729,Transportation,Post-IPO,2020
Dutchie,Bend,USA,North America,50,7.0,714,664,Other,Series D,2022
Lawgeex,Tel Aviv,Israel,Asia,30,33.0,91,61,Legal,Series C,2022
WorkRamp,San Francisco Bay Area,USA,North America,35,20.0,175,140,HR,Series C,2022
LearnUpon,Dublin,Ireland,Europe,27,9.0,300,273,Education,Private Equity …,2023
Beyond Meat,Los Angeles,USA,North America,200,19.0,1053,853,Food,Post-IPO,2022
FNZ,London,United Kingdom,Europe,1000,15.0,6667,5667,Finance,Private Equity …,2023
Pie Insurance,Washington DC,USA,North America,63,14.0,450,387,Finance,Series D,2023
Zwift,Los Angeles,USA,North America,80,15.0,533,453,Fitness,Series C,2023
Zipcar,Boston,USA,North America,100,20.0,500,400,Transportation,Acquired,2020
Andela,New York City,USA,North America,135,10.0,1350,1215,Recruiting,Series D,2020
CNET,San Francisco Bay Area,USA,North America,12,10.0,120,108,Media,Acquired,2023
Aura,Boston,USA,North America,70,9.0,778,708,Security,Series F,2022
Ethos Life,San Francisco Bay Area,USA,North America,40,12.0,333,293,Finance,Series D,2022
RenoRun,Montreal,Canada,North America,70,12.0,583,513,Construction,Series B,2022
Peloton,New York City,USA,North America,500,12.0,4167,3667,Fitness,Post-IPO,2022
Pocketmath,Singapore,Singapore,Asia,21,100.0,21,0,Marketing,Unknown,2021
Viasat,San Diego,USA,North America,300,4.0,7500,7200,Other,Post-IPO,2023
23andMe,San Francisco Bay Area,USA,North America,71,11.0,645,574,Healthcare,Post-IPO,2023
Puppet,Portland,USA,North America,50,10.0,500,450,Infrastructure,Series F,2020
Aqgromalin,Chennai,India,Asia,80,30.0,267,187,Food,Unknown,2022
Outschool,San Francisco Bay Area,USA,North America,31,18.0,172,141,Education,Series D,2022
eGym,Munich,Germany,Europe,100,25.0,400,300,Fitness,Series D,2020
MindBody,San Luis Obispo,USA,North America,700,35.0,2000,1300,Fitness,Post-IPO,2020
Butler Hospitality,New York City,USA,North America,1000,100.0,1000,0,Food,Series B,2022
Opendoor,San Francisco Bay Area,USA,North America,600,35.0,1714,1114,Real Estate,Series E,2020
Argo AI,Pittsburgh,USA,North America,150,5.0,3000,2850,Transportation,Unknown,2022
Knock,New York City,USA,North America,115,46.0,250,135,Real Estate,Unknown,2022
Loft,Sao Paulo,Brazil,South America,340,15.0,2267,1927,Real Estate,Unknown,2023
Wattpad,Toronto,Canada,North America,42,15.0,280,238,Media,Acquired,2023
Ola,Bengaluru,India,Asia,1400,35.0,4000,2600,Transportation,Series J,2020
Turo,San Francisco Bay Area,USA,North America,108,30.0,360,252,Transportation,Series E,2020
Ula,Jakarta,Indonesia,Asia,134,23.0,583,449,Retail,Series B,2022
Pear Therapeutics,Boston,USA,North America,25,9.0,278,253,Healthcare,Post-IPO,2022
Workhuman,Dublin,Ireland,Europe,130,10.0,1300,1170,HR,Unknown,2023
Twilio,San Francisco Bay Area,USA,North America,1500,17.0,8824,7324,Other,Post-IPO,2023
eBay,San Francisco Bay Area,USA,North America,500,4.0,12500,12000,Retail,Post-IPO,2023
Deliv,San Francisco Bay Area,USA,North America,669,100.0,669,0,Retail,Series C,2020
Homeday,Berlin,Germany,Europe,40,20.0,200,160,Real Estate,Unknown,2023
MediBuddy,Bengaluru,India,Asia,200,8.0,2500,2300,Healthcare,Acquired,2023
Intuit,San Francisco Bay Area,USA,North America,715,7.0,10214,9499,Finance,Post-IPO,2020
Sensibill,Toronto,Canada,North America,17,20.0,85,68,Finance,Series B,2020
Voi,Stockholm,Sweden,Europe,130,13.0,1000,870,Transportation,Series D,2022
PolicyGenius,New York City,USA,North America,170,25.0,680,510,Finance,Series E,2022
Bird,Los Angeles,USA,North America,406,30.0,1353,947,Transportation,Series D,2020
Cazoo,London,United Kingdom,Europe,750,15.0,5000,4250,Transportation,Post-IPO,2022
Ualá,Buenos Aires,Argentina,South America,53,3.0,1767,1714,Finance,Series D,2022
Revelate,Montreal,Canada,North America,24,30.0,80,56,Data,Series A,2022
OneTrust,Atlanta,USA,North America,950,25.0,3800,2850,Security,Series C,2022
Latch,New York City,USA,North America,30,6.0,500,470,Security,Post-IPO,2022
Yahoo,San Francisco Bay Area,USA,North America,1600,20.0,8000,6400,Consumer,Acquired,2023
ClearCo,Toronto,Canada,North America,50,30.0,167,117,Finance,Series C,2023
Momentive,San Francisco Bay Area,USA,North America,180,11.0,1636,1456,Marketing,Post-IPO,2022
GetYourGuide,Berlin,Germany,Europe,90,17.0,529,439,Travel,Series E,2020
TouchBistro,Toronto,Canada,North America,131,23.0,570,439,Food,Series E,2020
Atsu,Seattle,USA,North America,6,100.0,6,0,Infrastructure,Unknown,2020
10X Genomics,San Francisco Bay Area,USA,North America,100,8.0,1250,1150,Healthcare,Post-IPO,2022
EquityZen,New York City,USA,North America,30,27.0,111,81,Finance,Series B,2022
Unacademy,Bengaluru,India,Asia,1000,17.0,5882,4882,Education,Series H,2022
Ritual,Toronto,Canada,North America,196,54.0,363,167,Food,Series C,2020
Segment,San Francisco Bay Area,USA,North America,50,10.0,500,450,Data,Series D,2020
Sendy,Nairobi,Kenya,Africa,54,20.0,270,216,Logistics,Series B,2022
Uber Freight,San Francisco Bay Area,USA,North America,150,3.0,5000,4850,Logistics,Subsidi…,2023
WalkMe,San Francisco Bay Area,USA,North America,43,3.0,1433,1390,Other,Post-IPO,2023
Pipl,Spokane,USA,North America,22,13.0,169,147,Security,Unknown,2022
Yotpo,New York City,USA,North America,70,9.0,778,708,Marketing,Unknown,2022
Electric,New York City,USA,North America,141,25.0,564,423,Other,Series D,2023
Fable,Toronto,Canada,North America,13,9.0,144,131,Other,Series A,2023
Pico Interactive,San Francisco Bay Area,USA,North America,400,20.0,2000,1600,Other,Acquired,2023
Lighter Capital,Seattle,USA,North America,22,49.0,45,23,Finance,Series B,2020
Blend,San Francisco Bay Area,USA,North America,150,19.0,789,639,Finance,Post-IPO,2023
Headspace,Los Angeles,USA,North America,181,15.0,1207,1026,Healthcare,Unknown,2023
Zilingo,Singapore,Singapore,Asia,44,5.0,880,836,Retail,Series D,2020
Incredibuild,Tel Aviv,Israel,Asia,40,20.0,200,160,Product,Series B,2023
Veev,San Francisco Bay Area,USA,North America,100,30.0,333,233,Real Estate,Series D,2022
Taxfix,Berlin,Germany,Europe,120,20.0,600,480,Finance,Series D,2023
Snyk,Boston,USA,North America,198,14.0,1414,1216,Security,Series F,2022
PerkSpot,Chicago,USA,North America,10,10.0,100,90,HR,Private Equity …,2020
Lucid Motors,San Francisco Bay Area,USA,North America,1300,18.0,7222,5922,Transportation,Post-IPO,2023
Studio,San Francisco Bay Area,USA,North America,33,40.0,83,50,Education,Series B,2022
Sema4,Stamford,USA,North America,250,13.0,1923,1673,Healthcare,Post-IPO,2022
Packable,New York City,USA,North America,138,20.0,690,552,Retail,Unknown,2022
N26,New York City,USA,North America,9,1.0,900,891,Finance,Series D,2020
Loggi,Sao Paulo,Brazil,South America,500,15.0,3333,2833,Logistics,Series F,2022
Thumbtack,San Francisco Bay Area,USA,North America,160,14.0,1143,983,Consumer,Series I,2022
Titan Medical,Toronto,Canada,North America,48,72.0,67,19,Healthcare,Post-IPO,2023
Lightico,Tel Aviv,Israel,Asia,20,25.0,80,60,Finance,Series B,2023
Ritual,Toronto,Canada,North America,38,40.0,95,57,Food,Series C,2023
DealShare,Bengaluru,India,Asia,100,6.0,1667,1567,Retail,Series E,2023
Zscaler,San Francisco Bay Area,USA,North America,177,3.0,5900,5723,Security,Post-IPO,2023
Lendingkart,Ahmedabad,India,Asia,500,50.0,1000,500,Finance,Unknown,2020
Wonderschool,San Francisco Bay Area,USA,North America,50,75.0,67,17,Education,Series A,2020
Mojocare,Bengaluru,India,Asia,170,80.0,213,43,Healthcare,Series A,2023
Truepill,San Francisco Bay Area,USA,North America,175,33.0,530,355,Healthcare,Series D,2022
Rasa,Berlin,Germany,Europe,59,40.0,148,89,Data,Series B,2022
Grab,Singapore,Singapore,Asia,1000,11.0,9091,8091,Transportation,Post-IPO,2023
MediaMath,New York City,USA,North America,53,8.0,663,610,Marketing,Private Equity …,2020
Koo,Bengaluru,India,Asia,78,30.0,260,182,Consumer,Series B,2023
Carousell,Singapore,Singapore,Asia,110,10.0,1100,990,Retail,Private Equity …,2022
Hubilo,San Francisco Bay Area,USA,North America,115,35.0,329,214,Other,Series B,2023
Sprinklr,New York City,USA,North America,100,4.0,2500,2400,Support,Post-IPO,2023
Sonder,San Francisco Bay Area,USA,North America,100,14.0,714,614,Travel,Post-IPO,2023
Metigy,Sydney,Australia,Australia,75,100.0,75,0,Marketing,Series B,2022
OpenWeb,Tel Aviv,Israel,Asia,14,5.0,280,266,Media,Series E,2022
SoFi,San Francisco Bay Area,USA,North America,112,7.0,1600,1488,Finance,Private Equity …,2020
ClassPass,New York City,USA,North America,154,22.0,700,546,Fitness,Series E,2020
Remote,San Francisco Bay Area,USA,North America,100,9.0,1111,1011,HR,Series C,2022
Unbounce,Vancouver,Canada,North America,47,20.0,235,188,Marketing,Series A,2022
Buser,Sao Paulo,Brazil,South America,160,30.0,533,373,Transportation,Series C,2022
Waze,San Francisco Bay Area,USA,North America,30,5.0,600,570,Transportation,Acquired,2020
Udaan,Bengaluru,India,Asia,100,10.0,1000,900,Retail,Unknown,2023
Byju's,Bengaluru,India,Asia,2500,5.0,50000,47500,Education,Private Equity …,2022
Twine Solutions,Tel Aviv,Israel,Asia,30,33.0,91,61,Hardware,Unknown,2023
Wix,Tel Aviv,Israel,Asia,370,6.0,6167,5797,Marketing,Post-IPO,2023
Bolt,San Francisco Bay Area,USA,North America,130,29.0,450,320,Finance,Series E,2023
Stream,Boulder,USA,North America,20,12.0,167,147,Product,Series B,2022
Vee,Tel Aviv,Israel,Asia,16,32.0,50,34,HR,Seed,2022
Carbon Health,San Francisco Bay Area,USA,North America,114,5.0,2280,2166,Healthcare,Series D,2023
Nori,Seattle,USA,North America,10,37.0,27,17,Energy,Unknown,2023
Convoy,Seattle,USA,North America,30,5.0,600,570,Logistics,Series E,2023
Tamara Mellon,Los Angeles,USA,North America,20,40.0,50,30,Retail,Series C,2020
Foxtrot,Chicago,USA,North America,26,4.0,650,624,Food,Series C,2022
Groupon,Chicago,USA,North America,2800,44.0,6364,3564,Retail,Post-IPO,2020
Picsart,Miami,USA,North America,90,8.0,1125,1035,Consumer,Series C,2022
Away,New York City,USA,North America,60,10.0,600,540,Retail,Series D,2020
Sanar,Sao Paulo,Brazil,South America,60,20.0,300,240,Healthcare,Unknown,2022
Twilio,San Francisco Bay Area,USA,North America,800,11.0,7273,6473,Other,Post-IPO,2022
Katerra,San Francisco Bay Area,USA,North America,240,3.0,8000,7760,Construction,Series D,2020
Arrival,London,United Kingdom,Europe,800,50.0,1600,800,Transportation,Post-IPO,2023
Kinde,Sydney,Australia,Australia,8,28.0,29,21,Other,Seed,2023
Akili Labs,Boston,USA,North America,46,30.0,153,107,Healthcare,Post-IPO,2023
The RealReal,San Francisco Bay Area,USA,North America,230,7.0,3286,3056,Retail,Post-IPO,2023
Kuda,Lagos,Nigeria,Africa,23,5.0,460,437,Finance,Series B,2022
Checkout.com,London,United Kingdom,Europe,100,5.0,2000,1900,Finance,Series D,2022
Clue,Berlin,Germany,Europe,31,31.0,100,69,Healthcare,Unknown,2023
Quidax,Lagos,Nigeria,Africa,20,20.0,100,80,Crypto,Unknown,2022
Cadre,New York City,USA,North America,28,25.0,112,84,Real Estate,Series C,2020
Bitso,Mexico City,Mexico,North America,80,11.0,727,647,Crypto,Series C,2022
QuintoAndar,Sao Paulo,Brazil,South America,88,8.0,1100,1012,Real Estate,Series D,2020
Nuro,San Francisco Bay Area,USA,North America,300,20.0,1500,1200,Transportation,Series D,2022
Opendoor,San Francisco Bay Area,USA,North America,560,22.0,2545,1985,Real Estate,Post-IPO,2023
Amazon,Seattle,USA,North America,150,0.04497975910840122,333483,333333,Retail,Post-IPO,2022
Wordstream,Boston,USA,North America,26,10.0,260,234,Marketing,Acquired,2020
ShareChat,Bengaluru,India,Asia,101,25.0,404,303,Marketing,Series D,2020
Pleo,Copenhagen,Denmark,Europe,150,15.0,1000,850,Finance,Series C,2022
Hodinkee,New York City,USA,North America,24,20.0,120,96,Retail,Seed,2023
Crypto.com,Singapore,Singapore,Asia,260,5.0,5200,4940,Crypto,Unknown,2022
Sidecar Health,Los Angeles,USA,North America,110,40.0,275,165,Healthcare,Series C,2022
Greenhouse,New York City,USA,North America,100,12.0,833,733,Recruiting,Private Equity …,2023
JOKR,New York City,USA,North America,50,5.0,1000,950,Food,Series B,2022
Vesalius Therapeutics,Boston,USA,North America,29,43.0,67,38,Healthcare,Series B,2022
Wonder,New York City,USA,North America,130,7.0,1857,1727,Food,Series B,2022
Submittable,Missoula,USA,North America,30,20.0,150,120,Other,Series B,2020
Blend,San Francisco Bay Area,USA,North America,100,6.0,1667,1567,Finance,Post-IPO,2022
Thoughtworks,Chicago,USA,North America,579,5.0,11580,11001,Other,Post-IPO,2023
Unison,San Francisco Bay Area,USA,North America,89,45.0,198,109,Finance,Series B,2020
Brighte,Sydney,Australia,Australia,30,15.0,200,170,Energy,Series C,2022
Introhive,Ferdericton,Canada,North America,57,16.0,356,299,Sales,Series C,2022
Tier Mobility,Berlin,Germany,Europe,180,16.0,1125,945,Transportation,Series D,2022
Lever,San Francisco Bay Area,USA,North America,86,40.0,215,129,Recruiting,Series C,2020
TIFIN,Boulder,USA,North America,24,10.0,240,216,Crypto,Series D,2022
Sauce Labs,San Francisco Bay Area,USA,North America,30,15.0,200,170,Infrastructure,Unknown,2020
Banxa,Melbourne,Australia,Australia,70,30.0,233,163,Crypto,Post-IPO,2022
Course Hero,San Francisco Bay Area,USA,North America,42,15.0,280,238,Education,Series C,2023
Peerspace,San Francisco Bay Area,USA,North America,41,75.0,55,14,Real Estate,Series B,2020
DraftKings,Boston,USA,North America,140,4.0,3500,3360,Consumer,Post-IPO,2023
Enphase Energy,San Francisco Bay Area,USA,North America,350,10.0,3500,3150,Energy,Post-IPO,2023
Invitae,San Francisco Bay Area,USA,North America,235,15.0,1567,1332,Healthcare,Post-IPO,2023
Basis Technologies,Chicago,USA,North America,40,4.0,1000,960,Marketing,Series B,2023
Trax,Singapore,Singapore,Asia,100,12.0,833,733,Retail,Series E,2022
Tomo,Stamford,USA,North America,44,33.0,133,89,Finance,Series A,2022
Help.com,Austin,USA,North America,16,100.0,16,0,Support,Seed,2020
Tickertape,Bengaluru,India,Asia,29,29.0,100,71,Finance,Seed,2023
Planetly,Berlin,Germany,Europe,200,100.0,200,0,Other,Acquired,2022
SiFive,San Francisco Bay Area,USA,North America,130,20.0,650,520,Hardware,Series F,2023
AdRoll,Salt Lake City,USA,North America,210,30.0,700,490,Marketing,Series C,2020
Knotel,New York City,USA,North America,127,30.0,423,296,Real Estate,Series C,2020
Carvana,Phoenix,USA,North America,2500,12.0,20833,18333,Transportation,Post-IPO,2022
Kodiak Robotics,San Francisco Bay Area,USA,North America,15,20.0,75,60,Transportation,Series A,2020
Breathe,New Delhi,India,Asia,50,33.0,152,102,Healthcare,Series A,2022
Berlin Brands Group,Berlin,Germany,Europe,100,10.0,1000,900,Retail,Unknown,2022
Loop,Austin,USA,North America,19,25.0,76,57,Finance,Series A,2023
Sana Benefits,Austin,USA,North America,73,50.0,146,73,HR,Series B,2023
Olive AI,Columbus,USA,North America,215,35.0,614,399,Healthcare,Series H,2023
Similarweb,New York City,USA,North America,120,10.0,1200,1080,Other,Post-IPO,2022
Chia Network,San Francisco Bay Area,USA,North America,26,37.0,70,44,Crypto,Series D,2023
Verbit,New York City,USA,North America,60,6.0,1000,940,Data,Series E,2023
SecureWorks,Atlanta,USA,North America,212,9.0,2356,2144,Security,Post-IPO,2023
Airtable,San Francisco Bay Area,USA,North America,237,27.0,878,641,Product,Series F,2023
Tufin,Boston,USA,North America,55,10.0,550,495,Security,Acquired,2022
Airtasker,Sydney,Australia,Australia,45,20.0,225,180,Retail,Series C,2023
WayCool,Chennai,India,Asia,300,12.0,2500,2200,Food,Unknown,2023
Wealthsimple,Toronto,Canada,North America,159,13.0,1223,1064,Finance,Unknown,2022
Quanto,Sao Paulo,Brazil,South America,28,22.0,127,99,Finance,Series A,2022
Kenko Health,Mumbai,India,Asia,50,20.0,250,200,Healthcare,Unknown,2023
